㞮	shutsu sui
槫	tan dan sen
槭	shuku saku shaku
槮	shin san sen
槯	sai se
槱	yuu yu
槲	koku
槳	shou sou
槵	kan gan
槹	kou
槻	ki
槽	sou
槾	ban man
槿	kin
樀	teki chaku taku
樁	tou shou shu
樂	gaku raku gou
樃	rou
樅	shou
樊	han
樋	tou
樌	kan
樏	rui ru
樑	ryou
樒	mitsu
樓	rou
樔	sou shou jou
樕	soku
樗	cho
標	hyou
樚	roku toku doku
樛	kyuu
樝	sa sha
樞	suu shu
樟	shou
樠	bon mon ban man
模	mo bo
樢	boku chou moku
樣	you shou
樤	jou
樨	sei sai
権	ken gon
横	ou kou
樲	ji ni chi
樴	shoku shiki
樵	shou
樶	sai
樷	sou zu
樸	boku haku hoku
樹	ju
樺	ka
樻	ki gi
樽	son
樾	etsu ochi
樿	sen zen
橄	kan
橅	bo mo
橆	bu mu
橇	zei sei kyou
橈	dou jou nyou
橉	rin
橊	ryou ru
橋	kyou kou
橎	han bon
橐	taku sha
橑	rou
橒	un
橕	tou chou
橖	tou chou
橘	kitsu
橙	tou
橛	ketsu kachi kei ke
機	ki
橡	shou zou
橢	da
橤	zui ni
橦	tou shou sou
橧	sou shou zou
橪	zen nen en
橫	ou kou
橱	zu chuu chu
橸	shou
橾	shu sou su
橿	kyou
檀	tan dan
檁	rin
檃	in on
檄	geki keki
檆	san
檇	sui sai zui
檉	tei chou
檋	kyoku koku kyou
檍	yoku i oku
檎	go kin
檐	en tan
檑	rai
檗	haku byaku
檛	ta te
檜	kai
檝	shuu
檞	kai ge
檟	ka ke
檠	kei
檢	ken
檣	shou
檥	gi ga
檩	rin
檪	reki rou yaku
檫	satsu
檬	bou mo
檮	tou
檯	tai dai
檰	hen men
檱	ki
檳	bin hin
檴	kaku waku
檸	nei dou
檻	kan
檼	in
檽	ji ni zen nen ju nyu
檾	kei kyou
檿	en
櫁	mitsu
櫂	tou taku
櫃	ki
櫆	kai
櫈	tou
櫉	chu
櫌	yuu u
櫐	rui rai
櫑	rai
櫓	ro
櫔	rei
櫕	san zan
櫖	ryo ro
櫚	ryo ro
櫛	shitsu
櫜	kou
櫝	toku doku
櫞	en
櫟	reki rou
櫤	sen
櫥	chu
櫧	sho
櫨	ro
櫪	reki
櫬	shin kan
櫰	kai e
櫱	getsu gechi gatsu gachi
櫲	yo
櫺	rei ryou
櫻	ou you
櫼	sen shin san
櫽	in on
欂	haku baku heki byaku
欃	san sen
欄	ran
欅	kyo
欆	sou
欇	shou
欉	sou su
權	ken gon
欏	ra
欐	rei rai ri
欑	san zan
欒	ran
欖	ran
欗	ran
欛	ha he
欝	utsu
欞	rei ryou
欠	ketsu
次	ji shi
欣	gon kin kon
欤	yo
欧	ou
欨	ku
欫	keki kyaku
欬	kai ki gai
欯	kitsu kichi kai
欲	yoku
欵	kan
欶	saku shuku suku
欷	ki
欸	ai kai
欹	i ki
欺	gi ki
欻	kutsu kuchi
欽	kin kon
款	kan
欿	tan ton kan kon
歀	kan
歃	sou shou kou
歆	kin kon
歇	ketsu kai
歉	ken kan
歊	kyou koku kaku
歌	ka
歍	o u ou
歎	tan
歐	ou
歒	teki chaku
歓	kan
歔	kyo
歖	ki i
歘	kutsu kuchi
歙	kyuu shou kyou
歛	kan ken
歝	eki yaku to zu
歟	yo
歠	setsu sechi
歡	kan
止	shi
正	sei shou
此	shi
步	ho bu fu
武	bu mu
歧	ki gi
歩	ho bu fu
歪	wai
歫	kyo go
歮	juu
歯	shi
歰	shuu sou
歲	sei sai
歳	sei sai
歴	reki ryaku
歵	saku jaku
歸	ki gi
歹	gatsu atsu gachi
死	shi
歽	setsu sechi
歾	botsu
歿	botsu mochi
殀	you
殁	botsu mochi
殂	so zo
殃	you ou
殄	ten
殅	sou shou
殆	tai
殉	jun
殊	shu ju
残	zan san
殍	hyou fu
殑	kyou
殕	fuu fu hoku
殖	shoku
殗	you ou en
殘	zan san
殛	kyoku koku
殞	in un
殟	otsu ochi on
殠	shuu shu kyuu ku
殢	tei tai kei
殣	kin gin
殤	shou
殨	kai e kotsu gochi
殩	san
殪	ei
殫	tan
殬	to tsu
殭	kyou kou
殮	ren
殯	hin
殰	toku doku
殱	sen
殲	sen
殳	shu
殴	ou
段	dan tan
殷	in an
殸	kei kyou kou sei shou
殹	ei
殺	satsu setsu sai
殻	kaku koku
殼	kaku koku
殽	kou gyou
殾	shun
殿	ten den
毀	ki
毁	ki
毃	kaku kyou
毄	keki kyuku kei giki
毅	ki gi
毆	ou ku
毉	i ei
毋	bu mu
毌	kan
母	bo bou mo
毎	mai bai
每	mai bai
毒	doku toku
毓	iku
比	hi
毖	hi
毘	hi bi
毚	san zen zan
毛	mou bou
毡	sen
毣	boku moku baku maku
毦	ji ni
毧	juu nyu
毫	kou gou
毬	kyuu
毯	tan dan
毱	kiku goku
毳	zei sei setsu
毷	bou mou
毹	yu su ju
毿	san
氂	ri bou mou rai
氄	juu nyu
氅	shou
氈	sen
氉	sou
氍	ku gu kyo go
氎	chou jou
氏	shi
氐	tei tai shi chi
民	min
氒	ketsu kachi
氓	bou
气	ki ke
気	ki ke
氙	sen
氛	fun
氟	futsu
氣	ki ke
氤	in
氦	gai
氧	you
氨	an
氬	a
氮	tan
氲	un
氳	un
水	sui
氶	shou jou
氷	hyou
永	ei you
氹	kan
氺	sui
氻	roku
氽	ton
氾	han
氿	ki kyuu gu
汀	tei
汁	juu
求	kyuu
汊	sa sha
汋	saku zaku shaku jaku
汍	kan gan
汎	han fuu hou
汏	tai dai tatsu tachi
汐	seki
汒	bou mou
汔	kitsu kochi
汕	san
汗	kan
汙	o
汚	o
汛	shin san sha
汜	shi ji i
汝	jo
汞	kou
江	kou
池	chi ta
污	o
汧	ken kei kyou gen
汨	beki kotsu
汩	itsu gochi gotsu
汪	ou
汫	kei kyou sei jou
汭	zei nei zetsu nechi
汯	kou ou
汰	ta tai
汲	kyuu
汳	hen ben
汴	hen ben
汶	bun mon
汸	hou
汹	kyou
決	ketsu
汻	ko
汽	ki itsu
汾	fun
沁	shin
沂	ki kin
沃	yoku oku
沅	gen
沆	kou gou
沇	en i
沈	chin jin shin
沉	chin
沌	ton
沍	go
沐	boku moku
沒	botsu bai ba
沓	tou
沔	ben men bin min
沕	butsu mochi kotsu kochi
沖	chuu
沗	ten
沘	hi bi
沙	sa sha
沚	shi
沛	hai
沜	han
沟	kou ku
没	botsu
沢	taku
沫	matsu batsu
沮	sho so
沰	taku
沱	ta da
沲	ta da
河	ka
沴	rei rai ten den
沵	dei nai
沸	futsu
油	yu yuu
沺	ten den
治	ji chi
沼	shou
沽	ko
沾	ten
沿	en
況	kyou
泂	kei gyou
泄	ei setsu
泅	shuu
泆	itsu ichi tetsu dechi
泉	sen
泊	haku
泌	hitsu hi
泍	hon bon
泏	chutsu kotsu kochi
泐	ryoku
泑	yuu yu
泒	ko ku
泓	ou
泔	kan gon
法	hou hatsu hotsu
泖	bou myou ryuu ra
泗	shi
泙	hou hei byou
泚	sei sai shi
泛	han hou
泜	tei tai shi
泝	so
泠	rei ryou ren
泡	hou
波	ha hi
泣	kyuu
泥	dei
泧	etsu ochi ketsu kachi
注	chuu
泩	sou shou
泪	rui rei
泫	ken gen
泬	ketsu kechi
泮	han
泯	bin ben min
泰	tai
泱	ou ei
泲	sei sai
泳	ei
泴	kan
泵	ryuu
洄	kai gai
洇	in etsu echi
洊	sen zen son zon
洋	you shou
洌	retsu
洎	ki gi
洏	ji ni
洑	fuku buku
洒	sei sen sha
洓	saku shaku seki shi ji
洗	sen
洙	shu
洚	kou gu
洛	raku
洞	dou tou
洟	i tei
津	shin
洦	baku myaku haku hyaku
洧	i
洨	kou kyou
洩	ei setsu
洪	kou
洫	kyoku
洮	tou you dou
洯	ketsu
洱	ji ni
洲	shuu
洳	jo nyo
洵	shun jun
洶	kyou
洸	kou
洹	en on kan gan
活	katsu
洼	ai e wai
洽	kou
派	ha
洿	o u ko go
流	ryuu ru
浄	jou sei
浅	sen
浗	kyuu gu
浙	setsu
浚	shun
浜	hin
浞	saku zaku
浟	yuu u yu teki chaku
浡	hotsu bochi botsu
浣	kan
浤	kou gyou
浥	yuu ou you
浦	ho
浧	tei chou ei you
浩	kou
浪	rou ran
浬	ri
浮	fu
浯	go
浰	ren ri rei rai
浴	yoku
海	kai
浸	shin
浹	shou
浼	bai mai ban man
涂	to zu cho jo
涅	netsu detsu
涇	tei kyou
消	shou
涉	shou
涌	yuu you
涎	sen en
涑	sou su shuu shu
涒	ton in kin
涓	ken en gen
涔	san zan shin
涕	tei
涖	rei rai ri
涗	sei setsu sechi
涘	shi ji
涙	rui rei
涚	sei setsu sechi
涛	tou
涜	toku tou
涣	kan
涪	fuu bu hou
涬	kei gyou
涯	gai
液	eki
涴	en on ka wa
涵	kan
涷	tou tsu
涸	ko kaku
涹	wa dai ne i
涼	ryou
涽	kon
涿	toku doku taku
淀	ten den
淄	shi
淅	seki
淆	kou
淇	ki gi
淈	kotsu kochi
淊	kan gon en an
淋	rin
淌	shou tou
淎	hou ho fu
淏	kou gou
淑	shuku
淒	sei sai
淕	riku roku
淖	dou nyou
淘	tou
淙	sou su
淚	rui rei
淛	sei setsu sechi
淝	hi bi
淞	shou shu
淟	ten ton
淠	hi hei hai
淡	tan en
淢	yoku iki itsu ichi
淤	yo o
淥	roku ryoku
淦	kan kon
淨	jou sei
淩	ryou
淪	rin ron
淫	in
淬	sai
淮	wai kai
淯	iku
淰	den dan nen an on
深	shin
淳	shun jun
淴	otsu ochi kotsu kochi
淵	en
淶	rai
混	kon
淸	sei shou
淹	en you
淺	sen
添	ten
淼	byou myou
渀	hon bon
渄	hi
清	sei shou
渇	katsu
済	sai sei
渉	shou
渊	en
渋	juu
渌	roku ryoku
渓	kei
渕	en
渗	shin
渙	kan
渚	sho
減	gen kan
渝	yu
渞	shuu ju
渟	tei
渠	kyo
渡	to
渢	fuu bu han ban
渣	sa sha
渤	botsu hotsu
渥	aku
渦	ka
渧	tei dai teki chaku
温	on un
渫	setsu chou
測	soku
渭	i
渮	ka
港	kou
渲	sen
渴	katsu
渶	ei you
游	yuu ryuu
渹	kou sei shou
渺	byou
渻	sei shou
渼	bi mi
渾	kon
湃	hai he
湄	bi mi dan nan
湅	ren ran
湈	bai me
湉	ten den
湊	sou
湋	i
湍	tan
湎	ben men
湏	kai ke
湑	sho
湒	shuu
湓	hon fun bon
湔	sen san
湖	ko
湗	hou fu
湘	shou sou
湛	tan chin
湜	shoku jiki
湝	kai
湞	tou jou tei chou
湟	kou kyou
湢	hyoku hiki
湣	bin min ben men
湧	yuu you
湨	keki kyaku
湫	shou shuu
湮	in en
湯	tou shou
湲	kan en
湳	dan nan
湶	sen
湻	jun shun
湽	shi
湾	wan
湿	shitsu
満	man ban
溂	ratsu
溈	ki i
溉	gai kai
溌	hatsu
溍	shin
溏	tou dou
源	gen
溓	ren den nen kan
準	jun setsu
溘	kou
溙	tai
溜	ryuu
溝	kou
溟	mei
溠	sa sha shi
溢	itsu
溥	ho fu haku
溦	mi bi
溧	ritsu richi
溪	kei
溫	on un
溭	shoku jiki
溮	shi
溯	so
溱	shin
溲	sou shuu
溳	un in
溶	you
溷	kon
溺	deki jou nyou
溻	tou
溽	joku
溿	han
滀	chiku
滁	cho jo
滂	bou hou
滃	ou o
滄	sou
滅	metsu betsu
滇	ten shin
滈	kou gou kaku koku
滉	kou
滊	ki ke ketsu kechi
滋	ji shi
滌	deki jou
滍	chi ji
滎	kei gyou ei
滏	fu bu
滑	katsu kotsu
滓	sai shi
滔	tou
滕	tou
滚	kon
滝	sou rou
滞	tai
满	man ban
滫	shuu shu
滬	ko
滭	hitsu hichi
滮	hyuu hyu
滯	tai
滲	shin
滴	teki
滷	ro
滸	ko
滹	ko ku
滻	san sen
滽	you yu
滾	kon
滿	man ban
漁	ryou gyo
漂	hyou
漄	gai
漆	shitsu
漈	sei sai
漉	roku
漊	ru rou
漌	kin kon
漍	kaku
漏	rou
漑	gai kai
漓	ri
演	en
漕	sou
漖	kou kyou
漘	shin jin
漚	ou u
漛	tou dou
漠	baku
漢	kan
漣	ran ren
漦	gi rai tai
漩	sen zen
漪	i
漫	man
漬	shi
漭	bou mou
漯	tou rui
漰	hou hyou
漱	sou shuu
漲	chou
漳	shou
漶	kan gan
漸	zen sen zan
漻	ryou ryuu ru
漼	sai sui zui
漾	you
漿	shou
潀	sou
潁	ei
潅	kan
潏	ketsu kechi shutsu juchi
潑	hatsu
潒	tou dou shou zou
潓	kei e
潔	ketsu
潗	shuu
潘	han
潙	ki i
潚	shuku shou shuu
潛	sen
潜	sen
潝	kyuu kou ou you
潞	ro ru
潟	seki
潡	ton don
潢	kou ou
潤	jun
潦	rou
潨	sou zu shou shu zou
潬	tan dan sen zen
潭	tan shin
潮	chou
潯	jin
潰	kai e
潴	cho
潸	san
潺	san sen
潼	dou tou
潽	ho fu
潾	rin ran ren
澀	juu shuu
澁	juu
澂	chou
澃	gei kyou
澄	chou
澆	gyou
澇	rou
澈	tetsu dechi
澋	kou gyou kei
澌	shi sei sai
澍	shu ju
澎	hou
澐	un
澑	ryuu
澒	kou ku gu
澓	fuku buku
澔	kou
澖	kan gen
澗	kan ken
澙	seki
澚	iku oku
澟	rin
澠	shou jou bin min
澡	sou
澣	kan
澤	taku
澥	kai ge
澦	yo
澧	rei rai
澨	sei zei ei
澪	rei
澮	kai ke wai e
澯	san
澰	ren
澱	ten den
澳	iku oku ou
澵	shin
澶	sen zen ten den
澹	tan sen
澼	heki hyaku keki
激	geki keki
濁	daku
濂	ren den
濃	nou jou
濅	shin
濆	fun hon
濇	shoku shiki shuu
濈	shuu sou jou
濊	kai ke sai se wai
濔	dei nai
濕	shitsu shuu
濘	nei
濚	ei you
濞	hi hei hai bi
濟	sai sei
濠	gou
濡	ju nyu
濤	tou
濨	shi ji
濩	kaku waku
濫	ran
濬	shun
濮	hoku boku
濯	taku
濰	i yui
濱	hin hou
濳	sen
濵	hin
濶	katsu
濺	sen
濼	roku hoku
濽	san
濾	ryo ro
瀀	yuu u
瀁	you
瀅	ei you kei kyou
瀆	toku tou
瀇	ou kou
瀉	sha
瀋	shin
瀍	ten den
瀏	ryuu
瀑	baku hou boku
瀒	shoku
瀓	chou
瀕	hin
瀗	ken kon
瀘	ro
瀚	kan
瀛	ei
瀝	reki
瀞	jou sei
瀟	shou
瀠	ei you
瀣	kai gai
瀦	cho
瀧	sou rou
瀨	rai
瀬	rai
瀯	ei you
瀰	bi mi
瀲	ren
瀴	ei you
瀷	yoku iki shoku shiki
瀹	seku you
瀼	jou nyou dou nou
瀾	ran
灃	fuu fu hou
灄	shou jou nyou
灈	ku gu
灉	you yu
灊	sen zen shin jin
灋	hou hatsu hotsu
灌	kan
灎	en
灑	sai sha
灔	en
灕	ri
灘	dan kan
灝	kou gou kan kon
灞	ha
灣	wan
灤	ran
灥	shun jun sen
灧	en
灩	en
火	ka ko
灬	hyou ka
灮	kou
灯	tou tei chou
灰	kai
灵	rei ryou
灶	sou
灸	kyuu
灼	shaku
災	sai
灾	sai
炁	ki ke
炅	kei kyou ei you
炆	bun mon
炉	ro
炊	sui
炎	en tan
炒	sou shou
炔	kei ke ketsu kechi
炕	kou
炖	ton don
炗	kou
炘	kin kon
炙	sha seki
炛	you kyou
炤	shou shaku
炫	ken gen
炬	ko kyo
炭	tan
炮	hou
炯	kei kyou
炰	hou byou fuu fu
炱	tai dai
炳	hei
炴	you ou ei
炷	shu
炸	saku sa satsu
点	ten
為	i
烈	retsu
烉	kan
烊	you
烋	kou kyuu kyou
烏	u o
烑	you
烓	ei e kei kyou
烔	tou zu
烕	ketsu kechi betsu
烖	sai
烘	kou gu kyou ku
烙	raku kaku
烜	ten kan ki
烝	jou shou
烟	en
烤	kou
烱	kei kyou
烹	hou
烺	kou
烽	hou
焃	kaku kyaku keki
焄	kun
焅	koku kou
焆	etsu echi ken en
焇	shou sou
焉	en i
焋	sou shou
焌	shun son san
焏	kyoku ke
焔	en
焕	kan
焙	hou hai hoi
焚	fun
焜	kon
焞	ton don tai tsui
焠	sai sui
無	mu bu
焦	shou
焫	zetsu nechi
焭	kei
焯	shaku toku taku
焰	en
焱	en keki kyaku
然	zen nen
焸	ko ku kei kyou
焻	shou
焼	shou
煁	shin jin
煅	tan
煆	ka ke
煇	ki ken kan kun
煉	ren
煊	ken kan
煋	sei shou
煌	kou
煎	sen
煐	ei you
煑	sha sho
煒	i ki
煕	ki
煖	dan ken
煗	dan nan
煙	en
煚	kei kyou
煜	iku iu ou
煞	satsu sai setsu
煠	you chou sou jou
煢	kei
煤	bai mai
煥	kan
煦	ku
照	shou
煨	wai utsu uchi
煩	han bon
煬	you
煮	sha sho
煴	un on
煹	kou ku
煽	sen
熀	you kyou kou
熄	soku
熅	un on
熇	koku kaku kou
熈	ki
熊	yuu
熌	sen
熏	kun
熒	kei gyou kou
熔	you
熕	kou
熖	en
熙	ki
熚	hitsu hichi
熛	hyou
熟	juku
熠	yuu shuu juu
熢	hou
熨	i utsu
熬	gou
熯	zen nen gan
熰	ou u
熱	netsu zetsu nechi
熲	kei kyou
熳	man
熹	ki
熺	ki
熾	shi
熿	kou ou
燀	sen tan
燁	you yuu ou
燃	nen zen
燄	en
燈	tou
燉	ton
燋	shou jou seki shaku
燌	fun hon
燎	ryou
燐	rin
燒	shou
燓	fun bun han bon
燔	han
燕	en
燖	shin jin sen zen
燗	ran kan
燙	tou dou
燚	itsu ichi
燜	mon
營	ei
燠	iku ou
燥	sou
燦	san
燧	sui
燬	ki
燭	shoku soku
燮	shou
燵	tatsu
燸	jiyu nyu dan
燹	sen
燻	kun
燼	jin
燾	tou dou chuu ju
燿	you
爀	kaku
爆	baku
爇	zetsu nechi zei nei netsu
爈	ryo ro
爉	rou ryou
爍	shaku
爐	ro
爓	en sen zen
爗	you yuu ou
爚	yaku shaku
爛	ran
爝	shaku saku shou
爟	kan ken gen
爤	ran
爨	san
爪	sou
爬	ha
爭	sou
爯	shou
爰	en
爲	i
爴	kaku
爵	shaku
父	fu ho
爸	ha ba
爹	ta da
爺	ya
爻	kou
爼	sho so
爽	sou
爾	ji ni
爿	shou
牀	sou shou
牁	ka
牂	sou zou
牃	ouchou you shou ji
牅	you
牆	shou
片	hen
版	han
牋	sen
牌	hai
牎	sou
牏	chu ju yu shu
牐	sou jou
牒	chou jou
牓	bou hou
牔	haku
牕	sou
牖	yuu yu
牘	toku
牙	ga ge
牚	tou chou
牛	gyuu
牝	hin
牞	kyuu ku
牟	bou mu
牠	ta da
牡	bo bou
牢	rou
牣	jin nin
牧	boku moku
牨	kou chin
物	motsu butsu
牫	ka batsu
牬	hai
牮	sen
牯	ko ku
牱	ka
牲	sei shou
牴	tei
牷	sen zen
牸	shi ji
特	toku doku
牻	bou mou
牼	kou kyou kan ken
牽	ken
牾	go
牿	koku
犀	sei sai
犁	ri rei
犂	ri rei ryuu
犄	i ki
犇	hon
犉	jun nin zen nen
犍	ken kon gen
犎	hou fu
犒	kou
犓	su shu suu
犖	raku
犛	bou myou mou ri
犠	gi ki
犢	toku
犧	gi ki
犨	shuu shu
犬	ken
犮	hatsu bachi
犯	han bon
犱	keki kyaku
犲	sai
犴	kan gan
状	jou
犹	yuu you
犾	gin
狀	jou
狁	in
狂	kyou
狃	juu
狄	teki
狆	chuu
狇	boku
狉	hi
狌	sei shou
狎	kou
狐	ko
狒	hi
狕	ou you
狖	yuu yu
狗	kou ku
狘	ketsu kachi
狙	sho so
狛	haku
狝	sen
狟	kan gan ken
狠	gan kon
狡	kou kyou
狢	kaku
狥	shun jun
狩	shu shuu
独	doku
狭	kyou
狳	yo
狴	hei hai bai
狷	ken
狸	ri
狹	kyou kou
狺	gen gon
狻	san shun
狼	rou
狽	hai bai
狾	sei kei
猂	kan
猄	kei kyou
猅	hai bai
猇	ou you kou kyou
猊	gei
猋	hyou
猍	rai ri
猒	en ou you
猓	ka
猖	shou
猗	i
猘	sei kei
猙	sou shou jou
猛	mou bou
猜	sai
猝	sotsu
猞	sha
猟	ryou
猢	ko go
猤	ki gi
猥	wai
猧	ka wa
猨	en
猩	sei shou
猪	cho
猫	byou bou myou
猬	i
献	ken kon
猯	tan
猱	dou nou juu nyuu
猲	katsu kachi ryou
猴	kou go
猵	hen hin bin
猶	yuu
猷	yuu
猺	you
猻	son
猽	bei myou mei
猾	katsu
猿	en
獃	gai
獄	goku kyoku
獅	shi
獊	sou
獍	kyou
獎	shou sou
獏	baku myaku
獐	shou
獒	gou
獖	fun bun hon bon
獗	ketsu kachi
獘	hei bei hetsu bechi
獝	kitsu kichi itsu ichi
獞	tou zu
獟	gyou gou kyou
獠	ryou rou tou
獣	juu
獦	katsu kachi ryou
獧	ken
獨	doku toku
獩	wai e
獪	kai
獫	ken ren
獬	kai ge
獮	sen
獯	kun
獰	dou
獱	hin bin hen
獲	kaku
獵	ryou
獶	nyou dou nou
獷	kou kyou ku
獸	juu
獹	ro ru
獺	datsu tatsu
獻	ken kon
獼	bi mi
玀	ra
玁	ken ren
玃	kyaku kaku keki ku
玄	gen ken
玅	myou
玆	ji shi ken gen
率	ritsu sotsu
玉	gyoku goku
王	ou
玎	tei chou tou
玐	hatsu hachi
玓	teki chaku
玕	kan
玖	kyuu ku
玗	u
玘	ki
玜	kou ku
玞	fu
玟	bin min bai mai bun mon
玠	kai
玢	hin fun han hen
玥	getsu gachi
玦	ketsu kechi
玩	gan
玪	kan ken gen gin gon rin
玫	bai me mai
玭	hin bin hen ben
玲	rei rou
玳	tai
玵	gan
玷	ten
玹	ken gen
玻	ha
玼	sei sai sa shi
玽	kou ku
玿	shou jou
珀	haku hyaku
珂	ka
珅	shin
珆	i tai
珈	ka ke
珉	bin min
珊	san
珋	ryuu ru
珌	hitsu hichi hetsu bechi
珍	chin
珎	chin
珏	kaku koku
珒	shin
珓	kou kyou
珖	kou
珙	kyou kou
珝	ku
珞	raku reki ryaku
珠	shu
珡	kin
珢	gin
珣	shun
珥	ji
珦	kyou dou shou
珧	you
珩	kou gyou
珪	kei
班	han
珮	hai
珱	ei you
珴	ga
珵	tei jou chou
珷	bu mu
珸	go
珹	sei jou
珺	kun
珻	bai me mai
珽	tei chou
現	gen ken
珿	shuku suku saku
琀	kan gon
琁	zen sen kei
球	kyuu gu
琄	ken kei gyou
琅	rou
理	ri
琇	shuu shu yuu u
琉	ryuu ru
琊	ya
琑	sa
琚	kyo ko
琛	chin shin
琢	taku
琤	sou shou
琥	ko
琦	ki gi
琨	kon
琩	shou
琪	ki gi
琫	hou fu
琬	en on wan
琭	koku
琮	sou zu su
琯	kan kon
琰	en
琱	chou
琲	hai
琳	rin
琴	kin
琵	bi hi
琶	ha be
琹	kin
琺	hou
琿	kon gon
瑀	u
瑁	bou mou mai
瑃	chun
瑄	sen
瑅	tei dai
瑆	sei shou
瑇	tai
瑋	i
瑍	kan
瑑	ten den
瑒	chou tou jou
瑕	ka
瑗	en on kan gen
瑙	dou nou
瑚	ko go
瑛	ei you
瑜	yu
瑝	kou ou
瑞	zui
瑟	shitsu
瑠	ryuu ru
瑢	you yu
瑣	sa
瑤	you
瑦	o u
瑧	shin
瑨	shin
瑩	ei
瑪	ba me
瑫	tou
瑭	tou dou
瑮	ritsu richi
瑯	rou
瑰	kai
瑱	ten chin shin
瑲	shou sou
瑳	sa
瑶	you
瑾	kin
璀	sai sui
璁	sou su
璃	ri
璅	sou sa
璆	kyuu ku yuu yu
璇	sen zen
璉	rin
璋	shou
璏	tei dei etsu ochi ei e
璐	ro
璑	bu mu
璒	tou
璘	rin
璙	ryou
璚	kei gyou ketsu kechi
璜	kou ou
璞	haku
璟	ei you kei kyou
璠	han bon
璡	shin
璢	ryuu ru
璣	ki ke ge gi
璦	ai
璧	heki
璨	san
璩	kyo go
璪	sou
璫	tou
璮	tan
璯	kai e ke
環	kan
璱	shitsu shichi
璲	sui zui
璵	yo
璹	shuu ju tou dou
璻	sui
璽	ji shi
璿	sen zen kei ke
瓈	rei rai ri
瓉	san zan
瓊	kei
瓌	kai
瓏	rou
瓐	ro ru
瓓	ran
瓔	ei you
瓘	kan
瓚	san zan
瓛	kan gan ken kon
瓜	ka
瓞	tetsu dechi
瓟	haku baku hou byou
瓠	ko kaku
瓢	hyou
瓣	ben
瓤	shou nyou dou nou
瓦	ga
瓨	kou
瓪	han hon
瓫	hon bon
瓮	ou
瓯	ou
瓴	rii ryou
瓶	hei bin
瓷	shi ji
瓺	chou jou
瓻	chi teki chaku
瓿	hou bu fu
甁	hei bin
甃	shuu
甄	ken shin
甆	shi ji
甌	ou
甍	bou
甎	sen
甑	sou
甒	bu mu
甓	heki
甕	ou
甖	ou ei you
甗	gen gon
甘	kan
甚	shin jin
甛	ten
甜	ten
甞	shou jou
生	sei shou
甠	sei
甡	shin
產	san
産	san
甤	zui ni
甥	sei shou
甦	so
甧	shin son
用	you
甩	shutsu
甪	roku
甫	ho fu
甬	you
甯	nei nyou
田	den ten
由	yuu yu yui
甲	kou kan
申	shin
甴	sou
甶	futsu fuchi hi
男	dan nan
甸	ten den
甹	hei byou
町	chou tei
画	ga kaku
甼	chou tei
甽	ken kei kyou
甾	shi
甿	mou myou bou
畀	hi
畃	shun
畄	ryuu ru
畆	ho bou
畇	in shun kin
畈	han hon
畉	fu bu
畊	kou
畋	ten den
界	kai
畍	kai
畎	ken tei kyou
畏	i
畐	fuku buku hyoku hiki
畒	ho bou mo
畔	han
畗	tou fuku buku
留	ryuu ru
畚	hon
畛	shin
畜	chiku kiku kyuu
畝	ho bou
畞	bou mo ho
畟	shoku shiki soku
畡	kai gai
畢	hitsu
畤	shi ji
略	ryaku
畦	kei
畧	ryaku
番	ban han
畫	kaku ga kai
畬	yo
畭	yo
畯	shun
異	i
畱	ryuu ru
畲	yo sha
畳	jou chou
畴	chuu
畵	kaku ga kai
當	tou
畷	tetsu
畸	ki
畺	kyou kou
畻	shou jou
畼	chou jou
畽	ton tan tou tsu
畾	sui
畿	ki
疁	ryu ru kiku koku ryuu
疂	jou chou
疅	kyou kou
疆	kyou
疇	chuu
疉	jou chou
疊	jou chou
疋	so sho ga
疎	so
疏	so sho
疐	chi shi tei tai
疑	gi kyou
疒	daku nyaku sou jou shitsu
疓	zai nai dai ne kiu
疔	chou
疕	hi
疙	gitsu gochi ki ke
疚	kyuu
疜	ka ge
疝	san sen
疢	chin
疣	yuu
疤	ha he
疥	kai
疫	eki yaku
疱	hou
疲	hi
疳	kan
疴	a
疵	shi
疸	tan
疹	shin chin
疺	hou bou hen
疼	tou
疽	sho so
疾	shitsu
疿	hi
痀	ku gu u
痁	sen ten
痂	ka
痃	ken gen
痄	sa ja
病	byou hei
痆	datsu nachi jitsu nichi
症	shou
痊	sen
痌	tou zu
痍	i
痎	kai gai
痏	i yuu u
痒	you
痔	ji
痕	kon
痗	bai mai kai
痘	tou
痙	kei
痛	tsuu tou
痜	toku
痞	hi
痟	shou
痠	san
痡	ho fu bu
痢	ri
痣	shi
痤	sa za
痧	sa
痩	sou shuu
痬	eki yaku seki shaku
痮	chou
痯	kan
痰	tan
痱	hi bi hai bai
痲	ma ba
痳	rin
痴	chi
痹	hi
痺	hi
痼	ko
痾	a
痿	i
瘀	yo o
瘁	sui
瘂	a aku
瘃	shoku soku choku toku
瘄	shaku
瘇	shou ju
瘈	kei sei
瘉	yu
瘊	kou gu
瘋	fuu
瘌	ratsu rachi rai
瘍	you
瘏	to zu
瘒	gon
瘓	tan
瘕	ka ge ke
瘖	in on
瘙	sou
瘛	sei setsu sechi
瘜	shoku soku
瘝	kan ken
瘞	ei
瘟	on
瘠	seki
瘡	sou shou
瘢	han
瘣	kai gai rai
瘤	ryuu ru
瘥	sa za sha sai
瘦	sou shuu
瘧	gyaku
瘩	tou
瘭	hyou
瘮	shin
